Frecuencia_de_compra,Tipo_de_producto,Ubicacion_geografica,Edad,Año
Baja,Ropa,Este,25-34,2015
Media,Alimentos,Norte,45-54,2016
Alta,Ropa,Sur,45-54,2017
Baja,Hogar,Este,55+,2016
Media,Alimentos,Oeste,45-54,2017
Baja,Electrónica,Oeste,45-54,2015
Baja,Hogar,Oeste,35-44,2015
Alta,Alimentos,Oeste,35-44,2017
Baja,Ropa,Norte,45-54,2016
Alta,Hogar,Sur,55+,2016
Baja,Ropa,Norte,35-44,2016
Media,Alimentos,Norte,35-44,2016
Baja,Alimentos,Sur,45-54,2015
Alta,Electrónica,Este,55+,2016
Alta,Electrónica,Este,45-54,2018
Media,Hogar,Norte,18-24,2017
Baja,Electrónica,Sur,18-24,2016
Baja,Ropa,Oeste,55+,2017
Media,Ropa,Sur,18-24,2017
Baja,Electrónica,Este,55+,2015
Baja,Electrónica,Norte,18-24,2017
Alta,Electrónica,Oeste,25-34,2016
Baja,Hogar,Este,35-44,2018
Baja,Hogar,Oeste,45-54,2016
Media,Ropa,Sur,55+,2015
Media,Hogar,Sur,18-24,2016
Alta,Hogar,Este,25-34,2017
Baja,Alimentos,Este,18-24,2018
Baja,Ropa,Oeste,25-34,2016
Baja,Ropa,Oeste,45-54,2017
Alta,Electrónica,Sur,35-44,2016
Alta,Alimentos,Norte,35-44,2018
Media,Electrónica,Oeste,25-34,2016
Alta,Hogar,Sur,18-24,2016
Baja,Ropa,Norte,35-44,2017
Baja,Hogar,Este,18-24,2018
Alta,Hogar,Este,55+,2017
Baja,Alimentos,Oeste,18-24,2015
Baja,Alimentos,Norte,55+,2017
Alta,Ropa,Sur,55+,2018
Alta,Ropa,Oeste,35-44,2017
Baja,Alimentos,Sur,55+,2016
Baja,Alimentos,Norte,18-24,2018
Baja,Alimentos,Oeste,45-54,2018
Media,Alimentos,Norte,18-24,2016
Media,Ropa,Norte,25-34,2015
Media,Ropa,Norte,25-34,2015
Alta,Hogar,Sur,18-24,2015
Media,Hogar,Este,25-34,2016
Alta,Hogar,Oeste,45-54,2015
Alta,Ropa,Sur,25-34,2016
Media,Electrónica,Norte,35-44,2018
Media,Hogar,Sur,45-54,2016
Media,Electrónica,Norte,35-44,2015
Baja,Electrónica,Norte,35-44,2017
Media,Electrónica,Norte,45-54,2015
Baja,Alimentos,Norte,35-44,2018
Alta,Ropa,Sur,25-34,2018
Baja,Ropa,Norte,18-24,2018
Media,Hogar,Sur,45-54,2015
Alta,Hogar,Sur,18-24,2016
Alta,Ropa,Este,45-54,2016
Alta,Alimentos,Sur,45-54,2017
Baja,Ropa,Este,35-44,2016
Media,Electrónica,Este,18-24,2017
Alta,Ropa,Este,25-34,2018
Alta,Alimentos,Sur,18-24,2017
Alta,Ropa,Este,45-54,2017
Baja,Ropa,Oeste,25-34,2017
Baja,Ropa,Norte,35-44,2015
Media,Electrónica,Sur,25-34,2018
Baja,Hogar,Norte,25-34,2015
Alta,Alimentos,Sur,18-24,2018
Media,Electrónica,Este,45-54,2015
Alta,Ropa,Oeste,45-54,2015
Alta,Ropa,Este,45-54,2018
Baja,Hogar,Sur,55+,2018
Media,Hogar,Este,35-44,2016
Baja,Hogar,Oeste,18-24,2017
Baja,Electrónica,Norte,45-54,2018
Media,Alimentos,Norte,25-34,2016
Alta,Hogar,Este,55+,2015
Alta,Ropa,Sur,35-44,2017
Media,Alimentos,Sur,45-54,2017
Alta,Ropa,Norte,55+,2016
Media,Ropa,Oeste,35-44,2015
Media,Alimentos,Este,25-34,2018
Baja,Electrónica,Este,55+,2016
Media,Alimentos,Norte,18-24,2017
Baja,Hogar,Sur,35-44,2015
Alta,Alimentos,Este,55+,2015
Alta,Hogar,Sur,55+,2016
Alta,Hogar,Sur,35-44,2016
Alta,Alimentos,Norte,55+,2016
Baja,Alimentos,Sur,55+,2015
Alta,Hogar,Oeste,35-44,2018
Media,Ropa,Oeste,25-34,2018
Media,Alimentos,Norte,18-24,2017
Media,Electrónica,Este,35-44,2015
Baja,Hogar,Sur,45-54,2018
Alta,Ropa,Oeste,55+,2015
Alta,Alimentos,Norte,18-24,2015
Alta,Alimentos,Norte,18-24,2015
Baja,Ropa,Sur,35-44,2016
Media,Electrónica,Norte,45-54,2018
Media,Hogar,Este,45-54,2016
Alta,Alimentos,Sur,25-34,2017
Media,Electrónica,Este,45-54,2015
Media,Hogar,Oeste,35-44,2015
Baja,Electrónica,Oeste,18-24,2017
Baja,Hogar,Oeste,18-24,2018
Baja,Hogar,Oeste,45-54,2015
Baja,Electrónica,Norte,55+,2015
Alta,Hogar,Este,25-34,2018
Baja,Alimentos,Norte,45-54,2017
Media,Alimentos,Norte,35-44,2017
Alta,Electrónica,Oeste,25-34,2018
Media,Electrónica,Este,45-54,2018
Media,Hogar,Sur,25-34,2017
Media,Hogar,Sur,55+,2017
Baja,Electrónica,Sur,35-44,2015
Baja,Ropa,Este,45-54,2017
Alta,Electrónica,Oeste,18-24,2017
Alta,Ropa,Oeste,35-44,2016
Baja,Ropa,Este,55+,2016
Media,Electrónica,Oeste,55+,2017
Alta,Electrónica,Este,18-24,2018
Baja,Electrónica,Este,35-44,2017
Baja,Ropa,Sur,45-54,2018
Baja,Alimentos,Sur,18-24,2016
Media,Alimentos,Norte,45-54,2018
Baja,Electrónica,Este,25-34,2017
Baja,Electrónica,Sur,45-54,2016
Baja,Hogar,Sur,25-34,2016
Baja,Hogar,Sur,45-54,2016
Alta,Hogar,Oeste,25-34,2015
Alta,Electrónica,Sur,35-44,2016
Baja,Alimentos,Oeste,55+,2018
Media,Alimentos,Sur,35-44,2018
Alta,Electrónica,Oeste,18-24,2017
Baja,Electrónica,Oeste,35-44,2017
Alta,Ropa,Sur,35-44,2016
Alta,Ropa,Este,55+,2015
Media,Alimentos,Norte,35-44,2017
Baja,Hogar,Norte,18-24,2018
Baja,Alimentos,Este,35-44,2018
Media,Ropa,Sur,35-44,2016
Media,Alimentos,Este,35-44,2017
Baja,Ropa,Sur,35-44,2018
Baja,Ropa,Sur,55+,2016
Media,Hogar,Sur,55+,2017
Alta,Hogar,Sur,18-24,2015
Alta,Ropa,Sur,18-24,2015
Media,Electrónica,Este,18-24,2015
Alta,Hogar,Este,35-44,2015
Media,Ropa,Norte,45-54,2017
Alta,Electrónica,Sur,35-44,2017
Alta,Electrónica,Este,45-54,2015
Baja,Alimentos,Este,18-24,2018
Baja,Alimentos,Sur,35-44,2017
Alta,Hogar,Sur,18-24,2016
Alta,Electrónica,Este,55+,2018
Baja,Hogar,Sur,18-24,2018
Baja,Ropa,Oeste,35-44,2018
Baja,Hogar,Este,55+,2015
Media,Electrónica,Norte,55+,2018
Alta,Alimentos,Sur,45-54,2017
Baja,Hogar,Oeste,25-34,2018
Alta,Alimentos,Norte,55+,2018
Media,Hogar,Norte,25-34,2016
Media,Ropa,Norte,18-24,2016
Baja,Electrónica,Sur,18-24,2017
Media,Hogar,Norte,55+,2018
Alta,Ropa,Este,45-54,2015
Baja,Ropa,Este,18-24,2016
Alta,Ropa,Sur,25-34,2015
Alta,Alimentos,Sur,55+,2017
Media,Alimentos,Norte,55+,2017
Media,Ropa,Sur,45-54,2018
Media,Ropa,Este,55+,2017
Media,Hogar,Este,35-44,2018
Media,Hogar,Este,25-34,2015
Baja,Electrónica,Sur,35-44,2015
Alta,Hogar,Este,35-44,2016
Alta,Electrónica,Sur,25-34,2016
Alta,Electrónica,Oeste,55+,2018
Alta,Electrónica,Norte,55+,2015
Media,Alimentos,Oeste,35-44,2017
Alta,Hogar,Este,25-34,2015
Baja,Ropa,Norte,18-24,2016
Baja,Electrónica,Este,25-34,2017
Alta,Ropa,Este,35-44,2016
Alta,Electrónica,Oeste,25-34,2017
Baja,Hogar,Este,25-34,2015
Baja,Electrónica,Norte,18-24,2016
Media,Hogar,Este,45-54,2017
Baja,Ropa,Norte,45-54,2016
Media,Hogar,Oeste,18-24,2015
Media,Ropa,Sur,25-34,2016
Media,Hogar,Este,35-44,2016
Media,Electrónica,Oeste,18-24,2018
Media,Electrónica,Este,45-54,2017
Alta,Hogar,Norte,45-54,2018
Baja,Ropa,Este,18-24,2017
Media,Ropa,Sur,25-34,2018
Baja,Ropa,Este,55+,2015
Baja,Hogar,Sur,35-44,2018
Media,Hogar,Sur,55+,2018
Alta,Hogar,Este,35-44,2017
Media,Hogar,Oeste,55+,2018
Alta,Ropa,Este,55+,2017
Baja,Ropa,Sur,35-44,2016
Alta,Alimentos,Oeste,35-44,2015
Alta,Hogar,Sur,45-54,2015
Alta,Alimentos,Sur,25-34,2017
Baja,Hogar,Este,25-34,2016
Baja,Alimentos,Norte,45-54,2015
Alta,Ropa,Este,55+,2015
Alta,Ropa,Norte,35-44,2016
Media,Alimentos,Norte,18-24,2018
Alta,Electrónica,Este,55+,2017
Media,Hogar,Norte,25-34,2017
Alta,Alimentos,Sur,35-44,2018
Media,Alimentos,Oeste,45-54,2017
Baja,Electrónica,Este,55+,2016
Alta,Ropa,Norte,18-24,2016
Alta,Alimentos,Sur,55+,2015
Alta,Ropa,Oeste,45-54,2018
Alta,Hogar,Norte,18-24,2016
Media,Electrónica,Norte,55+,2017
Alta,Ropa,Sur,45-54,2015
Baja,Alimentos,Oeste,55+,2016
Baja,Electrónica,Oeste,35-44,2018
Alta,Electrónica,Sur,55+,2016
Baja,Electrónica,Oeste,45-54,2015
Alta,Electrónica,Este,25-34,2017
Alta,Electrónica,Oeste,45-54,2018
Baja,Hogar,Norte,55+,2017
Alta,Hogar,Oeste,35-44,2016
Baja,Electrónica,Este,25-34,2018
Media,Alimentos,Este,45-54,2015
Alta,Alimentos,Norte,25-34,2016
Media,Hogar,Norte,35-44,2015
Baja,Ropa,Este,18-24,2016
Media,Electrónica,Sur,25-34,2017
Media,Alimentos,Este,45-54,2015
Baja,Hogar,Oeste,35-44,2017
Media,Hogar,Norte,45-54,2017
Media,Ropa,Sur,35-44,2015
Baja,Ropa,Este,45-54,2018
Media,Alimentos,Norte,35-44,2015
Baja,Ropa,Oeste,55+,2016
Media,Ropa,Sur,45-54,2015
Baja,Electrónica,Sur,35-44,2016
Baja,Hogar,Sur,18-24,2015
Media,Hogar,Oeste,35-44,2017
Media,Ropa,Norte,18-24,2015
Media,Hogar,Este,25-34,2018
Alta,Hogar,Norte,35-44,2015
Alta,Alimentos,Oeste,25-34,2016
Alta,Hogar,Norte,25-34,2016
Baja,Ropa,Sur,55+,2018
Media,Alimentos,Este,35-44,2018
Baja,Hogar,Oeste,55+,2017
Alta,Hogar,Sur,55+,2018
Media,Alimentos,Norte,25-34,2015
Baja,Alimentos,Sur,45-54,2016
Media,Hogar,Norte,25-34,2018
Baja,Electrónica,Norte,25-34,2018
Media,Electrónica,Oeste,18-24,2015
Alta,Hogar,Norte,45-54,2017
Alta,Hogar,Sur,25-34,2016
Media,Alimentos,Oeste,45-54,2017
Baja,Alimentos,Este,18-24,2018
Alta,Hogar,Oeste,45-54,2016
Alta,Hogar,Sur,35-44,2018
Alta,Hogar,Norte,18-24,2015
Media,Hogar,Oeste,45-54,2016
Media,Electrónica,Oeste,55+,2017
Baja,Alimentos,Oeste,45-54,2016
Baja,Ropa,Sur,18-24,2018
Baja,Hogar,Norte,55+,2015
Media,Hogar,Este,45-54,2015
Media,Hogar,Este,45-54,2017
Baja,Ropa,Norte,18-24,2017
Baja,Alimentos,Este,55+,2018
Media,Alimentos,Norte,55+,2016
Baja,Hogar,Oeste,45-54,2015
Alta,Hogar,Oeste,35-44,2015
Media,Alimentos,Sur,18-24,2018
Baja,Ropa,Oeste,18-24,2016
Media,Hogar,Sur,25-34,2016
Alta,Ropa,Este,55+,2017
Media,Ropa,Este,55+,2017
Media,Alimentos,Oeste,25-34,2016
Media,Hogar,Norte,45-54,2018
Media,Electrónica,Este,45-54,2016
Alta,Alimentos,Este,18-24,2016
Media,Alimentos,Este,45-54,2015
Media,Electrónica,Norte,35-44,2018
Baja,Hogar,Oeste,35-44,2018
Media,Ropa,Sur,35-44,2018
Baja,Ropa,Norte,25-34,2018
Alta,Ropa,Norte,35-44,2017
Alta,Hogar,Este,25-34,2017
Alta,Alimentos,Sur,18-24,2015
Alta,Alimentos,Norte,18-24,2017
Baja,Alimentos,Este,35-44,2018
Media,Alimentos,Norte,25-34,2016
Alta,Alimentos,Este,35-44,2015
Media,Electrónica,Sur,45-54,2016
Baja,Ropa,Sur,25-34,2017
Baja,Ropa,Este,25-34,2018
Baja,Hogar,Oeste,25-34,2015
Alta,Electrónica,Norte,25-34,2017
Media,Alimentos,Oeste,45-54,2016
Media,Alimentos,Norte,35-44,2016
Media,Alimentos,Sur,18-24,2018
Baja,Electrónica,Norte,55+,2017
Alta,Hogar,Este,55+,2015
Baja,Electrónica,Este,25-34,2015
Baja,Hogar,Este,25-34,2015
Media,Ropa,Oeste,18-24,2016
Baja,Hogar,Sur,55+,2017
Media,Ropa,Sur,25-34,2015
Alta,Hogar,Sur,45-54,2015
Media,Ropa,Este,55+,2015
Alta,Ropa,Sur,45-54,2015
Media,Alimentos,Oeste,18-24,2015
Baja,Hogar,Oeste,18-24,2017
Baja,Alimentos,Oeste,55+,2016
Alta,Ropa,Este,35-44,2018
Alta,Alimentos,Norte,55+,2017
Alta,Electrónica,Sur,45-54,2016
Media,Alimentos,Oeste,35-44,2016
Media,Hogar,Norte,45-54,2017
Alta,Alimentos,Norte,45-54,2016
Baja,Electrónica,Oeste,45-54,2016
Media,Alimentos,Oeste,25-34,2016
Media,Ropa,Sur,35-44,2016
Media,Ropa,Sur,25-34,2015
Alta,Ropa,Norte,25-34,2017
Alta,Hogar,Norte,45-54,2017
Alta,Alimentos,Norte,18-24,2018
Alta,Ropa,Este,55+,2015
Alta,Alimentos,Norte,18-24,2015
Baja,Electrónica,Este,45-54,2015
Baja,Electrónica,Sur,55+,2018
Alta,Hogar,Norte,55+,2017
Media,Alimentos,Sur,45-54,2015
Alta,Electrónica,Norte,25-34,2017
Baja,Hogar,Sur,55+,2018
Baja,Hogar,Norte,55+,2015
Media,Ropa,Este,55+,2017
Baja,Electrónica,Oeste,55+,2016
Alta,Alimentos,Sur,35-44,2015
Media,Electrónica,Sur,25-34,2016
Alta,Electrónica,Oeste,35-44,2015
Alta,Alimentos,Norte,35-44,2017
Media,Alimentos,Este,45-54,2016
Alta,Ropa,Este,25-34,2016
Baja,Hogar,Este,18-24,2016
Alta,Alimentos,Norte,25-34,2015
Media,Alimentos,Sur,18-24,2015
Media,Electrónica,Norte,55+,2018
Media,Alimentos,Este,18-24,2015
Alta,Alimentos,Oeste,18-24,2016
Media,Electrónica,Este,18-24,2018
Media,Electrónica,Sur,55+,2017
Alta,Electrónica,Norte,55+,2016
Baja,Ropa,Norte,35-44,2016
Alta,Hogar,Este,18-24,2017
Media,Alimentos,Sur,25-34,2017
Media,Electrónica,Sur,45-54,2018
Alta,Electrónica,Oeste,35-44,2016
Baja,Hogar,Este,18-24,2016
Media,Ropa,Oeste,35-44,2017
Media,Alimentos,Norte,18-24,2016
Media,Ropa,Norte,18-24,2016
Alta,Ropa,Sur,35-44,2018
Media,Ropa,Oeste,18-24,2017
Baja,Electrónica,Sur,18-24,2015
Media,Hogar,Este,45-54,2016
Media,Hogar,Sur,25-34,2018
Baja,Hogar,Norte,55+,2016
Media,Ropa,Norte,45-54,2018
Alta,Alimentos,Sur,55+,2018
Alta,Ropa,Este,55+,2015
Alta,Hogar,Oeste,25-34,2018
Baja,Electrónica,Norte,45-54,2017
Media,Ropa,Norte,18-24,2018
Alta,Electrónica,Este,25-34,2015
Baja,Hogar,Sur,18-24,2016
Media,Ropa,Norte,18-24,2018
Baja,Electrónica,Norte,18-24,2015
Alta,Ropa,Este,18-24,2017
Alta,Hogar,Sur,45-54,2016
Alta,Alimentos,Este,55+,2015
Baja,Hogar,Este,55+,2016
Baja,Alimentos,Sur,45-54,2017
Alta,Alimentos,Norte,55+,2018
Baja,Hogar,Oeste,25-34,2018
Alta,Electrónica,Oeste,18-24,2015
Alta,Ropa,Oeste,18-24,2017
Media,Ropa,Este,18-24,2018
Baja,Ropa,Norte,35-44,2016
Alta,Alimentos,Norte,25-34,2016
Alta,Alimentos,Norte,35-44,2017
Baja,Hogar,Norte,45-54,2016
Media,Electrónica,Este,35-44,2017
Media,Hogar,Oeste,55+,2017
Alta,Hogar,Oeste,55+,2018
Baja,Electrónica,Sur,25-34,2017
Media,Alimentos,Norte,35-44,2018
Baja,Hogar,Oeste,35-44,2016
Baja,Hogar,Oeste,18-24,2017
Alta,Alimentos,Norte,25-34,2016
Media,Ropa,Norte,18-24,2017
Alta,Electrónica,Oeste,25-34,2016
Media,Electrónica,Sur,25-34,2015
Media,Ropa,Norte,35-44,2017
Media,Electrónica,Oeste,18-24,2018
Media,Ropa,Sur,45-54,2015
Media,Hogar,Este,18-24,2015
Baja,Electrónica,Sur,45-54,2018
Alta,Electrónica,Norte,55+,2017
Baja,Hogar,Este,25-34,2015
Media,Alimentos,Sur,18-24,2018
Alta,Alimentos,Oeste,25-34,2015
Media,Hogar,Norte,18-24,2017
Alta,Electrónica,Este,55+,2015
Baja,Electrónica,Oeste,18-24,2017
Alta,Electrónica,Este,55+,2017
Alta,Ropa,Sur,25-34,2015
Alta,Alimentos,Oeste,35-44,2017
Alta,Electrónica,Norte,45-54,2015
Alta,Alimentos,Oeste,25-34,2017
Media,Alimentos,Sur,35-44,2017
Alta,Electrónica,Este,25-34,2017
Alta,Hogar,Oeste,25-34,2015
Baja,Hogar,Este,18-24,2016
Alta,Alimentos,Norte,55+,2015
Baja,Ropa,Oeste,55+,2018
Media,Alimentos,Este,18-24,2017
Alta,Alimentos,Norte,18-24,2015
Baja,Hogar,Sur,25-34,2017
Baja,Electrónica,Oeste,55+,2016
Media,Electrónica,Oeste,25-34,2016
Alta,Ropa,Oeste,35-44,2015
Alta,Hogar,Este,35-44,2015
Baja,Hogar,Este,18-24,2018
Alta,Alimentos,Norte,55+,2016
Baja,Hogar,Oeste,35-44,2018
Alta,Alimentos,Norte,55+,2015
Baja,Ropa,Oeste,55+,2018
Alta,Hogar,Sur,45-54,2017
Media,Hogar,Oeste,35-44,2017
Alta,Alimentos,Norte,35-44,2018
Alta,Hogar,Este,25-34,2015
Media,Electrónica,Sur,25-34,2018
Alta,Ropa,Sur,55+,2016
Media,Electrónica,Oeste,18-24,2017
Alta,Alimentos,Sur,25-34,2017
Baja,Alimentos,Norte,25-34,2017
Baja,Alimentos,Norte,55+,2017
Alta,Ropa,Oeste,35-44,2016
Alta,Hogar,Este,25-34,2017
Alta,Electrónica,Sur,18-24,2016
Baja,Hogar,Sur,55+,2016
Alta,Alimentos,Oeste,35-44,2016
Baja,Hogar,Sur,45-54,2017
Media,Ropa,Este,18-24,2017
Baja,Alimentos,Oeste,35-44,2016
Baja,Hogar,Norte,55+,2017
Media,Electrónica,Sur,45-54,2018
Baja,Alimentos,Oeste,18-24,2017
Alta,Alimentos,Norte,25-34,2017
Alta,Ropa,Norte,25-34,2016
Baja,Ropa,Norte,18-24,2018
Alta,Electrónica,Oeste,25-34,2018
Baja,Hogar,Oeste,55+,2016
Alta,Hogar,Norte,18-24,2017
Alta,Alimentos,Norte,18-24,2017
Baja,Alimentos,Oeste,25-34,2016
Alta,Hogar,Oeste,18-24,2015
Baja,Hogar,Este,45-54,2016
Alta,Hogar,Norte,18-24,2018
Alta,Alimentos,Sur,25-34,2017
Media,Ropa,Sur,25-34,2015
Media,Ropa,Oeste,25-34,2018
Baja,Electrónica,Sur,25-34,2017
Media,Hogar,Oeste,55+,2018
Baja,Hogar,Este,25-34,2016
Media,Hogar,Oeste,45-54,2017
Alta,Electrónica,Norte,18-24,2018
Baja,Hogar,Oeste,35-44,2018
Baja,Ropa,Sur,35-44,2018
Alta,Hogar,Sur,55+,2015
Baja,Electrónica,Sur,35-44,2017
Baja,Alimentos,Norte,25-34,2016
Media,Alimentos,Oeste,35-44,2016
Baja,Ropa,Oeste,45-54,2016
Alta,Ropa,Sur,25-34,2018
Media,Ropa,Norte,35-44,2018
Media,Alimentos,Sur,25-34,2016
Alta,Hogar,Sur,55+,2018
Alta,Electrónica,Norte,45-54,2015
Media,Electrónica,Sur,18-24,2017
Baja,Hogar,Este,25-34,2017
Media,Alimentos,Norte,45-54,2015
Alta,Alimentos,Sur,55+,2017
Media,Electrónica,Oeste,55+,2015
Alta,Ropa,Este,45-54,2015
Media,Ropa,Oeste,35-44,2015
Baja,Electrónica,Oeste,45-54,2015
Media,Electrónica,Este,35-44,2016
Media,Hogar,Norte,35-44,2015
Alta,Hogar,Sur,45-54,2015
Alta,Hogar,Oeste,55+,2018
Alta,Hogar,Oeste,18-24,2018
Media,Hogar,Oeste,18-24,2016
Baja,Hogar,Norte,45-54,2015
Alta,Ropa,Oeste,25-34,2015
Alta,Electrónica,Oeste,45-54,2016
Media,Alimentos,Oeste,18-24,2015
Alta,Hogar,Este,45-54,2017
Baja,Ropa,Este,55+,2015
Baja,Electrónica,Oeste,18-24,2016
Alta,Electrónica,Norte,18-24,2015
Alta,Electrónica,Norte,18-24,2015
Media,Hogar,Sur,55+,2016
Baja,Hogar,Este,18-24,2016
Baja,Alimentos,Norte,25-34,2017
Alta,Hogar,Oeste,18-24,2017
Media,Electrónica,Este,45-54,2017
Baja,Electrónica,Norte,25-34,2017
Baja,Ropa,Sur,35-44,2016
Media,Ropa,Oeste,18-24,2017
Media,Alimentos,Este,35-44,2017
Baja,Ropa,Sur,35-44,2016
Baja,Alimentos,Sur,55+,2015
Media,Ropa,Este,45-54,2015
Baja,Electrónica,Norte,45-54,2015
Alta,Hogar,Oeste,35-44,2015
Alta,Hogar,Sur,55+,2018
Media,Alimentos,Sur,25-34,2015
Media,Hogar,Este,18-24,2018
Media,Hogar,Este,25-34,2016
Alta,Ropa,Este,18-24,2017
Baja,Electrónica,Sur,35-44,2017
Alta,Hogar,Norte,55+,2018
Baja,Electrónica,Norte,55+,2017
Alta,Ropa,Oeste,45-54,2015
Baja,Ropa,Este,45-54,2016
Alta,Hogar,Oeste,25-34,2015
Media,Hogar,Sur,45-54,2018
Alta,Ropa,Sur,18-24,2016
Baja,Ropa,Sur,55+,2016
Alta,Alimentos,Oeste,55+,2018
Alta,Alimentos,Este,35-44,2015
Alta,Electrónica,Oeste,35-44,2016
Media,Ropa,Oeste,25-34,2018
Alta,Electrónica,Sur,35-44,2015
Media,Ropa,Sur,18-24,2017
Media,Electrónica,Norte,45-54,2018
Alta,Alimentos,Este,45-54,2018
Alta,Ropa,Este,25-34,2016
Alta,Ropa,Este,45-54,2016
Baja,Electrónica,Oeste,55+,2017
Alta,Electrónica,Sur,45-54,2018
Media,Hogar,Sur,35-44,2018
Alta,Hogar,Norte,55+,2017
Baja,Alimentos,Oeste,35-44,2016
Alta,Ropa,Este,35-44,2017
Baja,Ropa,Oeste,25-34,2017
Baja,Electrónica,Sur,25-34,2016
Alta,Alimentos,Norte,55+,2018
Media,Ropa,Oeste,45-54,2015
Baja,Alimentos,Sur,18-24,2016
